"customer_id","customer_age","customer_sex","customer_number_of_dependents","customer_education","customer_civil_status","customer_salary_range","customer_relationship_length","customer_available_credit_limit","credit_card_classification","total_products","period_inactive","contacts_in_last_year","credit_card_debt_balance","remaining_credit_limit","transaction_amount_ratio","total_transaction_amount","total_transaction_count","transaction_count_ratio","average_utilization","account_status"
755410,38,"F",2,"High School","Married","40-60K",31,1593,"Blue",4,2,4,1091,502,0.87,4136,67,0.718,0.685,"open"
568093,46,"F",2,"Graduate","Unknown","below 40K",40,6568,"Blue",5,2,2,0,6568,0.101,1507,33,0.222,0,"closed"
595389,43,"M",1,"High School","Married","80-120K",30,34516,"Silver",1,1,3,2045,32471,0.59,4081,54,0.421,0.059,"open"
287252,46,"F",4,"High School","Married","below 40K",36,2374,"Blue",5,2,1,1332,1042,0.686,4253,81,0.884,0.561,"open"
231901,40,"M",4,"High School","Single","80-120K",29,12978,"Blue",3,3,2,0,12978,0.628,14134,85,0.7,0,"open"
418821,51,"M",4,"High School","Married","80-120K",42,14438,"Blue",6,1,2,2517,11921,0.853,2090,47,0.88,0.174,"open"
896187,45,"F",3,"Uneducated","Single","below 40K",39,2551,"Blue",5,4,1,2253,298,0.688,NA,63,0.909,0.883,"open"
258495,50,"F",1,"High School","Single","below 40K",36,4517,"Blue",1,1,3,2238,2279,0.625,4686,81,0.761,0.495,"open"
881720,45,"F",5,"Unknown","Married","Unknown",40,14728,"Blue",3,2,2,0,14728,0.708,4660,85,0.735,0,"open"
367251,40,"F",2,"Graduate","Unknown","below 40K",29,2636,"Blue",5,1,2,1953,683,0.916,4584,70,0.591,0.741,"open"
201870,NA,"F",2,"Graduate","Single","below 40K",27,2265,"Blue",5,3,3,0,2265,0.603,3826,71,0.543,0,"open"
376752,54,NA,2,"High School","Married","80-120K",50,9519,"Blue",4,2,3,1936,7583,0.929,2489,62,1,0.203,"open"
156504,45,"F",4,"Unknown","Married","below 40K",36,7924,"Blue",5,1,1,1896,6028,1.161,22890,58,0.933,0.239,"open"
870683,48,"M",4,"Unknown","Married","80-120K",36,22917,"Blue",2,3,2,0,22917,0.574,2045,45,0.5,0,"closed"
160974,50,NA,2,"Unknown","Divorced","60-80K",41,2966,"Blue",6,1,3,1433,1533,0.49,1986,50,0.613,0.483,"open"
893405,65,NA,0,"College","Divorced","Unknown",56,13666,"Blue",5,2,3,0,13666,0.808,3998,70,1,0,"open"
847194,55,"F",3,"Uneducated","Divorced",NA,36,2111,"Blue",3,2,1,1209,902,0.594,2803,61,0.605,0.573,"open"
934600,52,"M",2,"Uneducated","Single","120K and more",36,2507,"Blue",3,2,1,1259,1248,0.85,4461,73,4.605,0.502,"open"
321574,43,"F",5,"Uneducated","Single","below 40K",36,2057,"Blue",4,3,2,1279,778,0.562,4321,76,0.689,0.622,"open"
376141,50,"F",2,"Graduate","Single","Unknown",36,2611,"Blue",6,2,4,1824,787,0.711,4232,80,0.633,0.699,"open"
777631,51,"F",2,"Graduate","Married","40-60K",45,5930,"Blue",3,2,4,0,5930,1.19,2041,32,0.684,0,"open"
154087,38,"M",3,"Post-Graduate","Married","60-80K",36,2584,"Blue",4,3,2,0,2584,0.593,1843,28,0.647,0,"open"
204001,31,"M",0,"Graduate","Divorced","below 40K",36,3312,"Blue",4,3,2,2491,821,0.62,18690,50,0.667,0.752,"open"
779861,58,"F",1,"Unknown","Single",NA,50,8513,"Blue",5,2,2,799,7714,0.451,2119,37,0.542,0.094,"closed"
709666,47,"F",3,"Uneducated","Single","40-60K",35,4543,"Blue",6,5,2,1028,3515,0.799,4093,77,0.571,0.226,"open"
969320,42,"M",1,"Graduate","Unknown","80-120K",36,4765,"Blue",2,1,2,1516,3249,0.709,7380,76,0.689,0.318,"open"
